chromosome	chrom_pvalue	extreme_value_magnitude	extreme_value_status	name
11	0.152	0.115473294772291	1	consensus independent component 53_Prostate cancer
5	0.345	0.108843561220953	1	consensus independent component 53_Prostate cancer
10	0.95	0.0945591479519365	1	consensus independent component 53_Prostate cancer
22	0.962	0.0892285346061452	1	consensus independent component 53_Prostate cancer
7	0.919	0.0875855758798111	1	consensus independent component 53_Prostate cancer
8	0.833	0.0862969398276063	1	consensus independent component 53_Prostate cancer
18	0.759	0.08220556547221	1	consensus independent component 53_Prostate cancer
12	0.65	0.0791164861212643	1	consensus independent component 53_Prostate cancer
17	0.524	0.0758016895209832	1	consensus independent component 53_Prostate cancer
19	0.544	0.0690591678677491	-1	consensus independent component 53_Prostate cancer
24	0.724	0.04807667101288	-1	consensus independent component 53_Prostate cancer
16	0.751	0.022171216828172	1	consensus independent component 53_Prostate cancer
15	0.468	0.182818727133001	-1	consensus independent component 7_Renal cancer
13	0.129	0.172929621556286	-1	consensus independent component 7_Renal cancer
4	0.294	0.150571189363916	-1	consensus independent component 7_Renal cancer
24	0.187	0.145931327856277	-1	consensus independent component 7_Renal cancer
3	0.179	0.137062536155494	-1	consensus independent component 7_Renal cancer
11	0.112	0.132572016061926	-1	consensus independent component 7_Renal cancer
22	0.051	0.130462276385996	-1	consensus independent component 7_Renal cancer
9	0.033	0.126958406155636	-1	consensus independent component 7_Renal cancer
5	0.009	0.124886213497605	-1	consensus independent component 7_Renal cancer
6	0.166	0.114622785450218	-1	consensus independent component 7_Renal cancer
20	0.432	0.105950144506285	-1	consensus independent component 7_Renal cancer
21	0.488	0.101705020502262	-1	consensus independent component 7_Renal cancer
7	0.368	0.0999331407087864	-1	consensus independent component 7_Renal cancer
8	0.445	0.0959440244339598	-1	consensus independent component 7_Renal cancer
2	0.254	0.0954026836559363	-1	consensus independent component 7_Renal cancer
1	0.632	0.0868317481000086	-1	consensus independent component 7_Renal cancer
12	0.634	0.0837675590690754	-1	consensus independent component 7_Renal cancer
23	0.386	0.0836329580744533	-1	consensus independent component 7_Renal cancer
10	0.443	0.0795099577834886	-1	consensus independent component 7_Renal cancer
18	0.519	0.0734431864972406	-1	consensus independent component 7_Renal cancer
14	0.4	0.0703697950861549	-1	consensus independent component 7_Renal cancer
17	0.957	0.0397235298588253	-1	consensus independent component 7_Renal cancer
16	0.989	0.0136369999211798	-1	consensus independent component 7_Renal cancer
19	0.87	0.0106267121926136	-1	consensus independent component 7_Renal cancer
4	0.468	0.175415889685244	-1	consensus independent component 54_HCC
14	0.119	0.167749144863423	-1	consensus independent component 54_HCC
3	0.017	0.165005926800397	-1	consensus independent component 54_HCC
9	0.139	0.138191118549991	-1	consensus independent component 54_HCC
6	0.216	0.127450963815759	-1	consensus independent component 54_HCC
21	0.094	0.126018244544189	-1	consensus independent component 54_HCC
20	0.408	0.113272637999876	-1	consensus independent component 54_HCC
11	0.269	0.11186764419715	-1	consensus independent component 54_HCC
10	0.896	0.0998848708918748	-1	consensus independent component 54_HCC
5	0.983	0.0922018466728687	-1	consensus independent component 54_HCC
17	0.986	0.0887932287083468	-1	consensus independent component 54_HCC
8	0.989	0.0856301009977517	-1	consensus independent component 54_HCC
15	0.998	0.0797390473967433	-1	consensus independent component 54_HCC
1	0.997	0.077591348775323	-1	consensus independent component 54_HCC
2	0.982	0.0770048847258881	-1	consensus independent component 54_HCC
22	0.989	0.071735287443927	-1	consensus independent component 54_HCC
18	0.967	0.0702973276307335	-1	consensus independent component 54_HCC
24	0.875	0.0700684367808113	-1	consensus independent component 54_HCC
23	0.729	0.0688976896245719	-1	consensus independent component 54_HCC
16	0.935	0.0555658561579926	-1	consensus independent component 54_HCC
12	0.859	0.0531751940345206	-1	consensus independent component 54_HCC
13	0.774	0.0484913812507194	-1	consensus independent component 54_HCC
7	0.492	0.046206147221478	-1	consensus independent component 54_HCC
19	0.242	0.0418845853203481	-1	consensus independent component 54_HCC
8	0.728	0.14441342139306	-1	consensus independent component 19_Ovarian cancer
12	0.354	0.141625929920583	-1	consensus independent component 19_Ovarian cancer
11	0.278	0.127298843740418	-1	consensus independent component 19_Ovarian cancer
5	0.114	0.124293195501321	-1	consensus independent component 19_Ovarian cancer
9	0.238	0.110324414319485	-1	consensus independent component 19_Ovarian cancer
16	0.28	0.103878261249099	-1	consensus independent component 19_Ovarian cancer
17	0.237	0.0993535049185293	-1	consensus independent component 19_Ovarian cancer
13	0.256	0.0940600697211771	-1	consensus independent component 19_Ovarian cancer
24	0.227	0.0902201936705716	1	consensus independent component 19_Ovarian cancer
3	0.192	0.0865929433824829	-1	consensus independent component 19_Ovarian cancer
7	0.098	0.0856761790025473	-1	consensus independent component 19_Ovarian cancer
23	0.079	0.0826093644379139	-1	consensus independent component 19_Ovarian cancer
1	0.026	0.0814822708694412	-1	consensus independent component 19_Ovarian cancer
20	0.06	0.0757295649313199	-1	consensus independent component 19_Ovarian cancer
21	0.014	0.0755973637294321	-1	consensus independent component 19_Ovarian cancer
4	0.01	0.0733489558295655	-1	consensus independent component 19_Ovarian cancer
18	0.003	0.0714737790939432	-1	consensus independent component 19_Ovarian cancer
15	0.002	0.069318393790089	-1	consensus independent component 19_Ovarian cancer
19	0.004	0.0649197220988549	1	consensus independent component 19_Ovarian cancer
10	0.002	0.0629466446765983	-1	consensus independent component 19_Ovarian cancer
22	0.137	0.0470847751224181	-1	consensus independent component 19_Ovarian cancer
2	0.761	0.0233538427198533	1	consensus independent component 19_Ovarian cancer
14	0.526	0.0210056993186932	-1	consensus independent component 19_Ovarian cancer
6	0.527	0.0092090394913522	1	consensus independent component 19_Ovarian cancer
24	0.032	0.362657892812933	-1	consensus independent component 105_Lymphoma
10	0.316	0.170653736241328	-1	consensus independent component 105_Lymphoma
15	0.093	0.169657724455998	-1	consensus independent component 105_Lymphoma
8	0.172	0.155015512904452	-1	consensus independent component 105_Lymphoma
5	0.047	0.154828477038334	-1	consensus independent component 105_Lymphoma
3	0.026	0.14904163170748	-1	consensus independent component 105_Lymphoma
20	0.025	0.144004463228155	-1	consensus independent component 105_Lymphoma
4	0.008	0.142940580538213	-1	consensus independent component 105_Lymphoma
14	0.009	0.138202722164445	-1	consensus independent component 105_Lymphoma
16	0.076	0.1291006456764	-1	consensus independent component 105_Lymphoma
6	0.136	0.123853296483559	-1	consensus independent component 105_Lymphoma
21	0.295	0.118458248388572	-1	consensus independent component 105_Lymphoma
9	0.149	0.117462780653152	-1	consensus independent component 105_Lymphoma
1	0.049	0.117381821085414	-1	consensus independent component 105_Lymphoma
23	0.069	0.112976457927889	-1	consensus independent component 105_Lymphoma
7	0.156	0.108361147431201	-1	consensus independent component 105_Lymphoma
2	0.474	0.100696875476485	-1	consensus independent component 105_Lymphoma
22	0.554	0.0962560558473514	-1	consensus independent component 105_Lymphoma
11	0.51	0.0926664198220692	-1	consensus independent component 105_Lymphoma
13	0.328	0.0914718017929186	-1	consensus independent component 105_Lymphoma
12	0.246	0.0883643897110878	-1	consensus independent component 105_Lymphoma
18	0.439	0.0781578796919752	-1	consensus independent component 105_Lymphoma
17	0.932	0.0421757956547205	-1	consensus independent component 105_Lymphoma
19	0.882	0.0192265448258342	-1	consensus independent component 105_Lymphoma
21	0.361	0.218396767472578	-1	consensus independent component 77_Multiple myeloma
2	0.086	0.203909309946574	-1	consensus independent component 77_Multiple myeloma
13	0.082	0.18519276829536	-1	consensus independent component 77_Multiple myeloma
4	0.027	0.182212361005868	-1	consensus independent component 77_Multiple myeloma
3	0.413	0.159859910713738	-1	consensus independent component 77_Multiple myeloma
20	0.849	0.149086310730108	-1	consensus independent component 77_Multiple myeloma
6	0.742	0.148071817579389	-1	consensus independent component 77_Multiple myeloma
1	0.596	0.146821874026238	-1	consensus independent component 77_Multiple myeloma
7	0.463	0.145207799361128	-1	consensus independent component 77_Multiple myeloma
8	0.994	0.13075780978931	-1	consensus independent component 77_Multiple myeloma
5	0.991	0.128012021499516	-1	consensus independent component 77_Multiple myeloma
15	0.978	0.126997679590551	-1	consensus independent component 77_Multiple myeloma
11	0.95	0.125498992479964	-1	consensus independent component 77_Multiple myeloma
23	0.841	0.125473709808054	-1	consensus independent component 77_Multiple myeloma
17	0.906	0.120690246068879	-1	consensus independent component 77_Multiple myeloma
10	0.834	0.119565568297873	-1	consensus independent component 77_Multiple myeloma
12	0.719	0.118557962294968	-1	consensus independent component 77_Multiple myeloma
9	0.64	0.116430212945779	-1	consensus independent component 77_Multiple myeloma
14	0.906	0.106883191452939	-1	consensus independent component 77_Multiple myeloma
16	0.996	0.0914612769923778	-1	consensus independent component 77_Multiple myeloma
18	0.977	0.090683212619862	-1	consensus independent component 77_Multiple myeloma
24	0.994	0.0694925500479526	-1	consensus independent component 77_Multiple myeloma
22	0.99	0.0481531762944791	-1	consensus independent component 77_Multiple myeloma
19	0.811	0.0448591214008774	-1	consensus independent component 77_Multiple myeloma
24	0.017	0.391621332093175	1	consensus independent component 87_Adrenal cancer
4	0	0.190788448900224	1	consensus independent component 87_Adrenal cancer
8	0	0.16918805953181	1	consensus independent component 87_Adrenal cancer
19	0	0.157969542055567	-1	consensus independent component 87_Adrenal cancer
6	0	0.124690692093322	1	consensus independent component 87_Adrenal cancer
20	0	0.119827658584641	-1	consensus independent component 87_Adrenal cancer
16	0	0.0760925748269157	-1	consensus independent component 87_Adrenal cancer
18	0	0.0672666336135744	-1	consensus independent component 87_Adrenal cancer
21	0	0.0671775555778761	1	consensus independent component 87_Adrenal cancer
5	0	0.0600011724848969	1	consensus independent component 87_Adrenal cancer
22	0	0.056318252539005	-1	consensus independent component 87_Adrenal cancer
2	0	0.0551578857523961	1	consensus independent component 87_Adrenal cancer
14	0	0.0539038633463141	-1	consensus independent component 87_Adrenal cancer
17	0	0.0519044723825071	-1	consensus independent component 87_Adrenal cancer
15	0	0.048217754138811	-1	consensus independent component 87_Adrenal cancer
3	0	0.0458056699211318	1	consensus independent component 87_Adrenal cancer
23	0	0.0392747308236216	-1	consensus independent component 87_Adrenal cancer
1	0	0.0338777373082005	-1	consensus independent component 87_Adrenal cancer
12	0	0.0286415482808191	1	consensus independent component 87_Adrenal cancer
10	0	0.0253501689540356	1	consensus independent component 87_Adrenal cancer
13	0	0.0204519737308225	1	consensus independent component 87_Adrenal cancer
9	0	0.0192207870764578	-1	consensus independent component 87_Adrenal cancer
7	0	0.0140016691917835	1	consensus independent component 87_Adrenal cancer
11	0.984	3.98933221216e-05	1	consensus independent component 87_Adrenal cancer
21	0.118	0.293959266702656	1	consensus independent component 35_Myelodysplastic syndrome
4	0.013	0.230064932175159	1	consensus independent component 35_Myelodysplastic syndrome
18	0.021	0.19293655652626	1	consensus independent component 35_Myelodysplastic syndrome
13	0.004	0.189745585412386	1	consensus independent component 35_Myelodysplastic syndrome
8	0.042	0.17018426827066	1	consensus independent component 35_Myelodysplastic syndrome
3	0.028	0.164443635418859	1	consensus independent component 35_Myelodysplastic syndrome
23	0.028	0.157896700434827	1	consensus independent component 35_Myelodysplastic syndrome
15	0.007	0.157166000400731	1	consensus independent component 35_Myelodysplastic syndrome
9	0.002	0.156559280161687	1	consensus independent component 35_Myelodysplastic syndrome
6	0.001	0.151743031609173	1	consensus independent component 35_Myelodysplastic syndrome
7	0.002	0.147093065529722	1	consensus independent component 35_Myelodysplastic syndrome
5	0.027	0.138722309548584	1	consensus independent component 35_Myelodysplastic syndrome
14	0.147	0.130463079523766	1	consensus independent component 35_Myelodysplastic syndrome
10	0.32	0.123834412299272	1	consensus independent component 35_Myelodysplastic syndrome
1	0.151	0.123646688648533	1	consensus independent component 35_Myelodysplastic syndrome
12	0.627	0.11322367038487	1	consensus independent component 35_Myelodysplastic syndrome
24	0.622	0.109798086612813	1	consensus independent component 35_Myelodysplastic syndrome
11	0.788	0.102486690678038	1	consensus independent component 35_Myelodysplastic syndrome
20	0.598	0.101821885456856	1	consensus independent component 35_Myelodysplastic syndrome
2	0.393	0.100689714640127	1	consensus independent component 35_Myelodysplastic syndrome
17	0.924	0.0762993749980242	1	consensus independent component 35_Myelodysplastic syndrome
22	0.984	0.0563203932767907	1	consensus independent component 35_Myelodysplastic syndrome
16	0.94	0.0484641115863473	1	consensus independent component 35_Myelodysplastic syndrome
19	0.987	0.0017576786631949	-1	consensus independent component 35_Myelodysplastic syndrome
18	0.613	0.1824685055421	-1	consensus independent component 133_Brain cancer
21	0.192	0.18150710391549	-1	consensus independent component 133_Brain cancer
24	0.096	0.174238500692955	-1	consensus independent component 133_Brain cancer
12	0.013	0.173956988986881	-1	consensus independent component 133_Brain cancer
4	0.007	0.16845459445944	-1	consensus independent component 133_Brain cancer
15	0.291	0.147267193891796	-1	consensus independent component 133_Brain cancer
14	0.105	0.147260552245288	-1	consensus independent component 133_Brain cancer
10	0.166	0.141326504241615	-1	consensus independent component 133_Brain cancer
16	0.096	0.139174714322456	-1	consensus independent component 133_Brain cancer
9	0.358	0.130976315624048	-1	consensus independent component 133_Brain cancer
3	0.267	0.128672163077531	-1	consensus independent component 133_Brain cancer
17	0.458	0.123105803885705	-1	consensus independent component 133_Brain cancer
23	0.326	0.121661260074071	-1	consensus independent component 133_Brain cancer
7	0.204	0.119808697143755	-1	consensus independent component 133_Brain cancer
6	0.087	0.119259932120501	-1	consensus independent component 133_Brain cancer
8	0.158	0.115632981547892	-1	consensus independent component 133_Brain cancer
2	0.174	0.112855450184396	-1	consensus independent component 133_Brain cancer
1	0.468	0.105156925584059	-1	consensus independent component 133_Brain cancer
13	0.361	0.103430917092233	-1	consensus independent component 133_Brain cancer
20	0.344	0.100154064047334	-1	consensus independent component 133_Brain cancer
11	0.568	0.0916135496308081	-1	consensus independent component 133_Brain cancer
5	0.337	0.0906616664054793	-1	consensus independent component 133_Brain cancer
19	0.268	0.08360618799548	-1	consensus independent component 133_Brain cancer
22	0.2	0.0745103148945845	-1	consensus independent component 133_Brain cancer
10	0.458	0.204848590178969	1	consensus independent component 6_Melanoma
15	0.097	0.200371488225074	1	consensus independent component 6_Melanoma
3	0.064	0.183432775489249	1	consensus independent component 6_Melanoma
13	0.063	0.169899753920675	1	consensus independent component 6_Melanoma
24	0.029	0.165542442616915	1	consensus independent component 6_Melanoma
4	0.013	0.160995502202716	1	consensus independent component 6_Melanoma
6	0.026	0.152188329029045	1	consensus independent component 6_Melanoma
1	0.034	0.147474381095555	1	consensus independent component 6_Melanoma
2	0.018	0.144986855917242	1	consensus independent component 6_Melanoma
5	0.033	0.139559398549725	1	consensus independent component 6_Melanoma
9	0.179	0.130681859022392	1	consensus independent component 6_Melanoma
8	0.17	0.127800389928532	1	consensus independent component 6_Melanoma
21	0.3	0.12353124745752	1	consensus independent component 6_Melanoma
7	0.832	0.113802154390694	1	consensus independent component 6_Melanoma
12	0.997	0.101626263404366	1	consensus independent component 6_Melanoma
22	0.995	0.0969310266162811	1	consensus independent component 6_Melanoma
20	0.967	0.0964266113647472	1	consensus independent component 6_Melanoma
17	0.961	0.0928418741042208	1	consensus independent component 6_Melanoma
11	0.99	0.0808312143484887	1	consensus independent component 6_Melanoma
16	0.991	0.0732883816413856	1	consensus independent component 6_Melanoma
18	0.958	0.0718186278687159	1	consensus independent component 6_Melanoma
14	0.895	0.066880370508826	1	consensus independent component 6_Melanoma
23	0.767	0.0628700667129184	1	consensus independent component 6_Melanoma
19	0.914	0.0131148388713976	1	consensus independent component 6_Melanoma
21	0.332	0.221079352344174	1	consensus independent component 38_HNSCC
4	0.086	0.199186209303041	1	consensus independent component 38_HNSCC
6	0.004	0.198463122688708	1	consensus independent component 38_HNSCC
3	0.046	0.173788058443864	1	consensus independent component 38_HNSCC
10	0.008	0.173064936141025	1	consensus independent component 38_HNSCC
8	0.003	0.168804354726273	1	consensus independent component 38_HNSCC
20	0.001	0.163901699698563	1	consensus independent component 38_HNSCC
5	0.001	0.157653328351193	1	consensus independent component 38_HNSCC
11	0.009	0.148977197828964	1	consensus independent component 38_HNSCC
2	0.337	0.13260854391111	1	consensus independent component 38_HNSCC
16	0.142	0.132464225841135	1	consensus independent component 38_HNSCC
7	0.235	0.127781972688245	1	consensus independent component 38_HNSCC
9	0.135	0.126657206107327	1	consensus independent component 38_HNSCC
1	0.21	0.121773456061997	1	consensus independent component 38_HNSCC
18	0.078	0.121268866077186	1	consensus independent component 38_HNSCC
13	0.239	0.114586418774959	1	consensus independent component 38_HNSCC
24	0.578	0.105506722915603	1	consensus independent component 38_HNSCC
23	0.912	0.0944807542229888	1	consensus independent component 38_HNSCC
15	0.894	0.0892841862329542	1	consensus independent component 38_HNSCC
14	0.89	0.0830926526671951	1	consensus independent component 38_HNSCC
22	0.844	0.0760071058636621	1	consensus independent component 38_HNSCC
12	0.646	0.075675625611373	1	consensus independent component 38_HNSCC
19	0.99	0.0263199392821715	-1	consensus independent component 38_HNSCC
17	0.965	0.0066899916264744	-1	consensus independent component 38_HNSCC
